window_size,start_point,end_point,accuracy
250,0,250,tensor(0.9752475023)
250,0,250,tensor(0.7821782231)
250,0,250,tensor(0.9240590334)
250,250,500,tensor(0.9521452188)
250,250,500,tensor(0.9752141833)
250,250,500,tensor(0.9653131962)
250,500,750,tensor(0.9933993816)
250,500,750,tensor(0.9834983349)
250,500,750,tensor(0.9900990129)
250,750,1000,tensor(0.9438277483)
250,750,1000,tensor(0.8300330043)
250,750,1000,tensor(0.8331333399)
300,0,300,tensor(0.9933993816)
300,0,300,tensor(1.)
300,0,300,tensor(0.9587458372)
300,300,600,tensor(0.9174917936)
300,300,600,tensor(0.8827382326)
300,300,600,tensor(0.9818481803)
300,600,900,tensor(0.9290429354)
300,600,900,tensor(1.)
300,600,900,tensor(0.9488449097)
330,0,330,tensor(1.)
330,0,330,tensor(1.)
330,0,330,tensor(1.)
330,330,660,tensor(0.9752475023)
330,330,660,tensor(0.9257425666)
330,330,660,tensor(0.8316831589)
330,660,990,tensor(0.8877887726)
330,660,990,tensor(0.8316831589)
330,660,990,tensor(0.9785478115)
