window_size,start_point,end_point,accuracy,epochs,steps
40,570,610,0.4721550941467285,185,7030
40,610,650,0.4638421833515167,126,4788
40,650,690,0.5374568104743958,195,7410
40,690,730,0.44746506214141846,132,5016
40,730,770,0.559565544128418,425,16150
40,770,810,0.40248507261276245,209,7942
40,810,850,0.45465824007987976,197,7486
40,850,890,0.2816581130027771,255,9690
40,890,930,0.24888475239276886,30,1140
40,930,970,0.24460498988628387,26,988
40,970,1010,0.29950830340385437,337,12806
40,1010,1050,0.3294452726840973,368,13984
40,1050,1090,0.2981106638908386,206,7828
40,1090,1130,0.27533039450645447,45,1710
40,1130,1170,0.36224502325057983,225,8550
40,1170,1210,0.4236356019973755,175,6650
40,1210,1250,0.4746713936328888,293,11134
40,1250,1290,0.24874247610569,66,2508
40,1290,1330,0.4724992513656616,132,5016
40,1330,1370,0.3546333312988281,325,12350
40,1370,1410,0.28249770402908325,191,7258
40,1410,1450,0.23570537567138672,68,2584
40,1450,1490,0.29519981145858765,197,7486
40,1490,1530,0.35874128341674805,305,11590
40,1530,1570,0.24807871878147125,41,1558
80,570,650,0.8210036158561707,169,6422
80,650,730,0.8525115251541138,183,6954
80,730,810,0.6846845149993896,180,6840
80,810,890,0.5696349143981934,262,9956
80,890,970,0.3222658038139343,236,8968
80,970,1050,0.4185319244861603,165,6270
80,1050,1130,0.3781675696372986,104,3952
80,1130,1210,0.7012429237365723,229,8702
80,1210,1290,0.5292028188705444,174,6612
80,1290,1370,0.477823406457901,52,1976
80,1370,1450,0.39009687304496765,174,6612
80,1450,1530,0.5125861167907715,164,6232
160,570,730,0.8886061906814575,81,3078
160,730,890,0.7563442587852478,101,3838
160,890,1050,0.5746491551399231,96,3648
160,1050,1210,0.7643844485282898,132,5016
160,1210,1370,0.7548596858978271,83,3154
160,1370,1530,0.6018416285514832,91,3458
320,570,890,0.8243750333786011,71,2698
320,890,1210,0.7999551296234131,157,5966
320,1210,1530,0.6999239325523376,82,3116
1015,563,1578,0.9501610398292542,74,2812
1015,563,1578,0.9514309167861938,54,3078
1015,563,1578,0.945974588394165,48,2736
1015,563,1578,0.8948244452476501,180,10260
1015,563,1578,0.9427965879440308,47,2679
1015,563,1578,0.9057960510253906,123,7011
1015,563,1578,0.9264527559280396,45,2565
1015,563,1578,0.9384836554527283,59,3363
1015,563,1578,0.9315223693847656,78,4446
1015,563,1578,0.9371048212051392,71,4047
1015,563,1578,0.9040557146072388,47,2679
1015,563,1578,0.9452767968177795,156,8892
1015,563,1578,0.8930084705352783,48,2736
1015,563,1578,0.896564781665802,108,6156
1015,563,1578,0.9272010326385498,245,13965
1015,563,1578,0.9138165712356567,46,2622
1015,563,1578,0.9108656644821167,52,2964
1015,563,1578,0.9370459914207458,119,6783
1015,563,1578,0.9181295037269592,210,11970
1015,563,1578,0.9564585089683533,76,4332
1015,563,1578,0.9600567817687988,112,6384
1015,563,1578,0.9404929876327515,55,3135
1015,563,1578,0.9438559412956238,123,7011
1015,563,1578,0.928949773311615,160,9120
1015,563,1578,0.9091084599494934,79,4503
1015,563,1578,0.9448816180229187,74,4218
1015,563,1578,0.8598752021789551,85,4845
1015,563,1578,0.9110169410705566,44,2508
1015,563,1578,0.8948244452476501,202,11514
1015,563,1578,0.8992887735366821,140,7980
1015,563,1578,0.9286471009254456,112,6384
1015,563,1578,0.9086712598800659,72,4104
1015,563,1578,0.9193065762519836,43,2451
1015,563,1578,0.9356840252876282,43,2451
