window_size,start_point,end_point,train_time,test_time,last_epoch,last_step
40,570,610,102.41641664505003,13.361802339553831,185,7030
40,610,650,100.58739137649536,13.856478691101074,196,7448
40,650,690,92.71629309654236,11.64572024345398,178,6764
40,690,730,111.3260054588318,11.74015760421753,224,8512
40,730,770,83.62539505958557,11.52130365371704,163,6194
40,770,810,137.6187620162964,11.71068239212036,297,11286
40,810,850,105.89416122436523,11.738807439804075,218,8284
40,850,890,211.3135974407196,11.684956312179564,482,18316
40,890,930,53.26934099197388,11.628827095031738,87,3306
40,930,970,438.2800014019013,12.361265420913696,1034,39292
40,970,1010,210.46228790283203,11.664302587509155,478,18164
40,1010,1050,205.56301736831665,12.304478168487549,458,17404
40,1050,1090,176.84742712974548,12.63498067855835,385,14630
40,1090,1130,170.41545629501343,11.626199007034302,400,15200
40,1130,1170,116.5955936908722,13.1218523979187,262,9956
40,1170,1210,74.31441354751587,11.69890308380127,151,5738
40,1210,1250,93.97450065612792,11.920836687088013,203,7714
40,1250,1290,187.39207553863525,11.687015056610107,451,17138
40,1290,1330,87.21226453781128,11.591259002685549,186,7068
40,1330,1370,142.48603773117063,11.73807406425476,331,12578
40,1370,1410,163.13840317726135,11.652813911437988,382,14516
40,1410,1450,202.94047164916992,11.575297117233276,489,18582
40,1450,1490,204.74578404426572,11.732815504074097,493,18734
40,1490,1530,260.5051119327545,11.87400722503662,622,23636
40,1530,1570,44.29736042022705,11.698663473129272,69,2622
80,570,650,50.74501872062683,11.572682857513428,82,3116
80,650,730,44.50237989425659,11.697247505187988,69,2622
80,730,810,44.94270634651184,11.462856531143188,69,2622
80,810,890,47.09471154212952,11.480081796646118,76,2888
80,890,970,97.35784554481506,11.544355630874634,210,7980
80,970,1050,50.18606948852539,11.431432723999023,84,3192
80,1050,1130,52.539313316345215,11.49885892868042,90,3420
80,1130,1210,43.365790128707886,11.617589950561523,67,2546
80,1210,1290,48.50286746025085,11.758085012435911,80,3040
80,1290,1370,44.35276317596436,11.61507511138916,69,2622
80,1370,1450,88.81931447982788,11.531710863113403,186,7068
80,1450,1530,69.01911640167236,11.523080110549929,134,5092
160,570,730,70.12175297737122,11.991732120513916,43,1634
160,730,890,67.26564979553223,11.979908466339111,41,1558
160,890,1050,85.28189277648926,12.130190134048462,56,2128
160,1050,1210,74.35745573043823,11.42272400856018,47,1786
160,1210,1370,69.78220176696777,11.468107223510742,43,1634
160,1370,1530,79.32570910453796,11.36555290222168,51,1938
320,570,890,1084.6285061836245,15.42192840576172,30,1140
320,890,1210,1305.5202090740204,17.264192581176758,33,1254
320,1210,1530,1505.543967485428,22.27499508857727,31,1178
1015,563,1578,95.11633038520812,20.090556621551517,26,988
